Country,Cases,Deaths,Vaccinated
India,45000.0,500.0,80.0
USA,19125.0,800.0,75.0
Brazil,32000.0,291.875,82.0
UK,15000.0,200.0,85.0
France,18000.0,250.0,82.0
Germany,19125.0,180.0,88.0
Japan,9000.0,291.875,90.0
China,5000.0,50.0,82.0
Russia,12000.0,170.0,70.0
Canada,7000.0,90.0,89.0
Italy,19125.0,220.0,84.0
Spain,11000.0,291.875,81.0
Australia,3000.0,30.0,82.0
Mexico,8000.0,120.0,76.0
South Korea,6000.0,60.0,92.0
India,47000.0,510.0,83.0
USA,52000.0,820.0,77.0
Brazil,19125.0,410.0,74.0
UK,17000.0,291.875,86.0
France,19000.0,260.0,82.0
